Bulan,Nama Barang,Total Disewa,Estimasi Pemasukan
6,Tripod HP,0.0,0.0
7,Fly Sheet,0.0,0.0
7,Gas Refill,0.0,0.0
7,Gas Rent,0.0,0.0
7,Gas rent,0.0,0.0
7,Gelas Set,0.0,0.0
7,Headlamp,0.0,0.0
7,Headmp,0.0,0.0
7,Hydropack,0.0,0.0
7,Jacket,0.0,0.0
7,Jas Hujan,0.0,0.0
7,Kakhoiper,0.0,0.0
7,Kompor,0.0,0.0
7,Kompor B,0.0,0.0
7,Kompor K,0.0,0.0
7,Kompor Portable,0.0,0.0
7,Kursi B,0.0,0.0
7,Kursi K,0.0,0.0
7,Kursi Outdoor K,0.0,0.0
7,Lampu Tenda,0.0,0.0
7,Manset Lengan,0.0,0.0
7,Matras,0.0,0.0
7,Matras Foil,0.0,0.0
7,Meja B,0.0,0.0
7,Nesting,0.0,0.0
7,Paket Grill,0.0,0.0
7,Pasak,0.0,0.0
7,Pasak Pramuka,0.0,0.0
7,Penahan Angin,0.0,0.0
7,Refill Gas,0.0,0.0
7,SB,0.0,0.0
7,Sarung Tangan,0.0,0.0
7,Senter,0.0,0.0
7,Sepatu,0.0,0.0
7,TP,0.0,0.0
7,Tali,0.0,0.0
7,Tas,0.0,0.0
7,Tas 55L,0.0,0.0
7,Tas 55L + CB,0.0,0.0
7,Tas Lipat,0.0,0.0
7,Tempat Telur,0.0,0.0
7,Tenda,0.0,0.0
7,Tenda K4,0.0,0.0
7,Tenda K6,0.0,0.0
7,Trash Bag,0.0,0.0
7,lampu Tenda,0.0,0.0
7,tas,0.0,0.0
8,CB,0.0,0.0
8,Emergency Blanket,0.0,0.0
8,Fly Sheet,0.0,0.0
8,Gas Rent,0.0,0.0
8,Gelas Set,0.0,0.0
8,Headlamp,0.0,0.0
8,Hydropack,0.0,0.0
8,Kompor,0.0,0.0
8,Lampu Tenda,0.0,0.0
8,Manset,0.0,0.0
8,Matras,0.0,0.0
8,Matras Foil,0.0,0.0
8,Matras Spoon,0.0,0.0
8,Nesting,0.0,0.0
8,Paket Grill,0.0,0.0
8,Pasak,0.0,0.0
8,SB,0.0,0.0
8,Sarung,0.0,0.0
8,Sarung Tangan,0.0,0.0
8,Sb,0.0,0.0
8,Senter,0.0,0.0
8,Sepatu,0.0,0.0
8,Set Gelas,0.0,0.0
8,TP,0.0,0.0
8,Tali,0.0,0.0
8,Tas,0.0,0.0
8,Tas + CB,0.0,0.0
8,Tempat Telur,0.0,0.0
8,Tenda,0.0,0.0
8,Tenda K4,0.0,0.0
8,Tenda K6,0.0,0.0
8,Tenda Pramuka,0.0,0.0
8,Tp,0.0,0.0
8,Trash Bag,0.0,0.0
9,CB,0.0,0.0
9,Emergency Blanket,0.0,0.0
9,Fly Sheet,0.0,0.0
9,Gas Refill,0.0,0.0
9,Gas Rent,0.0,0.0
9,Headlamp,0.0,0.0
9,Hydropack,0.0,0.0
9,Kompor,0.0,0.0
9,Kompor B,0.0,0.0
9,Kursi K,0.0,0.0
9,Kursi Outdoor B,0.0,0.0
9,Lampu Tenda,0.0,0.0
9,Leaf Hopper,0.0,0.0
9,Manset,0.0,0.0
9,Matras,0.0,0.0
9,Matras Foil,0.0,0.0
9,Nesting,0.0,0.0
9,Penadah Angin,0.0,0.0
9,Powerbank,0.0,0.0
9,SB,0.0,0.0
9,Senter,0.0,0.0
9,Sepatu,0.0,0.0
9,Sepatu 39,0.0,0.0
9,Sepatu 43,0.0,0.0
9,TP,0.0,0.0
9,Tali,0.0,0.0
9,Tas,0.0,0.0
9,Tas + CB,0.0,0.0
9,Tas 45L + CB,0.0,0.0
9,Tas 55L + CB,0.0,0.0
9,Tas Kecil Lipat,0.0,0.0
9,Tempat Telur,0.0,0.0
9,Tenda,0.0,0.0
9,Tenda K4,0.0,0.0
9,Tenda K6,0.0,0.0
9,Tripod HP,0.0,0.0
9,headlamp,0.0,0.0
9,kafhooper,0.0,0.0
9,lampu Tenda,0.0,0.0
11,Fly Sheet,0.0,0.0
11,Gas Rent,0.0,0.0
11,Headlamp,0.0,0.0
11,Hydropack,0.0,0.0
11,Kompor,0.0,0.0
11,Kompor B,0.0,0.0
11,Lampu Tenda,0.0,0.0
11,Matras,0.0,0.0
11,Nesting,0.0,0.0
11,SB,0.0,0.0
11,Sarung Tangan,0.0,0.0
11,TP,0.0,0.0
11,Tas + CB,0.0,0.0
11,Tenda K4,0.0,0.0
12,CB,0.0,0.0
12,Dril? Grill?,0.0,0.0
12,Emergency Blanket,0.0,0.0
12,Fly Sheet,0.0,0.0
12,Gas Refill,0.0,0.0
12,Gas Rent,0.0,0.0
12,Grill,0.0,0.0
12,Head Lamp,0.0,0.0
12,Headlamp,0.0,0.0
12,Hydropack,0.0,0.0
12,Kompor,0.0,0.0
12,Kompor B,0.0,0.0
12,Kompor Besar,0.0,0.0
12,Kompor K,0.0,0.0
12,Kursi Lipat K,0.0,0.0
12,Lampu Tenda,0.0,0.0
12,Mantol,0.0,0.0
12,Matras,0.0,0.0
12,Matras Foil,0.0,0.0
12,Matras Foil B,0.0,0.0
12,Nesting,0.0,0.0
12,Penahan Angin,0.0,0.0
12,Powerbank,0.0,0.0
12,SB,0.0,0.0
12,Sarung Tangan,0.0,0.0
12,Sepatu,0.0,0.0
12,TP,0.0,0.0
12,Tali Fly Sheet,0.0,0.0
12,Tas,0.0,0.0
12,Tas 45L + CB,0.0,0.0
12,Tas 55L + CB,0.0,0.0
12,Tempat Telur,0.0,0.0
12,Tenda K4,0.0,0.0
12,Tenda K6,0.0,0.0
12,Tenda Pramuka,0.0,0.0
